Batter,runs,balls_faced,dismissals,innings,strike_rate
L Wood,9,3,0,1,300.0
B Stanlake,5,2,0,1,250.0
J Fraser-McGurk,330,150,8,2,220.00000000000003
R Sai Kishore,13,6,1,1,216.66666666666666
Umar Gul,39,19,3,2,205.26315789473685
RS Sodhi,4,2,0,1,200.0
Shahid Afridi,81,46,8,2,176.08695652173913
I Malhotra,7,4,0,1,175.0
WG Jacks,230,133,6,2,172.93233082706766
PD Salt,653,385,20,2,169.6103896103896
